0	0.1862326810	0.5077069743	0.0446835815	0.0253227318	0.0414058796	0.0033400083	0.0060366694	0.1335391562	0.0082525178	0.0434798002
1	0.0870667867	0.0000000000	0.4091948175	0.0054183598	0.4031337576	0.0127797705	0.0019516072	0.0385787341	0.0001213270	0.0417548397
0	0.0974512748	0.0238296038	0.1535805447	0.0022411829	0.0247755846	0.0000767568	0.0426069615	0.1044812742	0.0179689438	0.5329878729
0	0.0195698802	0.2383543580	0.0748199953	0.0036281113	0.0294038112	0.1013212416	0.0422340722	0.2184605607	0.0001964847	0.2720114849
1	0.0438529236	0.0097151153	0.1927863889	0.0480530347	0.1842632364	0.0000000000	0.0308538044	0.4261712641	0.0002904899	0.0640137426
0	0.0345879845	0.0019595238	0.0821677078	0.0250846755	0.3316236034	0.0842993709	0.2421860195	0.0731719444	0.1244836311	0.0004355392
0	0.0229988889	0.0175476177	0.0364823121	0.0016625935	0.3574271013	0.0006845434	0.0577398735	0.5054455658	0.0000111743	0.0000003295
0	0.2862498553	0.6103039102	0.0022717746	0.0002480876	0.0754560909	0.0112206987	0.0081404753	0.0007760296	0.0035122728	0.0018208050
2	0.0000000000	0.0000000000	0.2838260596	0.0699573223	0.0098758572	0.0122220876	0.0315515588	0.0388191257	0.0000009135	0.5537470752
0	0.0235376660	0.0005319969	0.0052388556	0.1663929076	0.0000000000	0.1840395119	0.3129105879	0.0004387920	0.3069096822	0.0000000000
