1	0.138
2	0.1
3	0.759
4	0.217
5	0.243
6	0.015
7	0.321
8	0.863
9	0.568
10	0.45
11	0.796
12	0.862
13	0.783
14	0.143
15	0.008
16	0.935
17	0.886
18	0.262
19	0.452
20	0.611
21	0.036
22	0.124
23	0.585
24	0.052
25	0.284
26	0.87
27	0.358
28	0.288
29	0.064
30	0.656
31	0.349
32	0.48
33	0.977
34	0.96
35	0.764
36	0.45
37	0.992
38	0.317
39	0.966
40	0.424
41	0.31
42	0.37
43	0.055
44	0.335
45	0.568
46	0.54
47	0.481
48	0.301
49	0.1
50	0.792
51	0.545
52	0.251
53	0.523
54	0.174
55	0
56	0.396
57	0.306
58	0.15
59	0.116
60	0.6
61	0.854
62	0.887
63	0.118
64	0.836
65	0.611
66	0.623
67	0.793
68	0.881
69	0.544
70	0.857
71	0.631
72	0.089
73	0.871
74	0.077
75	0.921
76	0.589
77	0.729
78	0.033
79	0.891
80	0.818
81	0.188
82	0.764
83	0.188
84	0.489
85	0.083
86	0.993
87	0.448
88	0.48
89	0.9
90	0.458
91	0.94
92	0.651
93	0.914
94	0.328
95	0.462
96	0.766
97	0.494
98	0.971
99	0.977
100	0.35
101	0.951
102	0.437
103	0.08
104	0.934
105	0.86
106	0.64
107	0.116
108	0.718
109	0.143
110	0.114
111	0.513
112	0.597
113	0.492
114	0.641
115	0.848
116	0.7
117	0.682
118	0.551
119	0.636
120	0.041
121	0.145
122	0.57
123	0.658
124	0.921
125	0.095
126	0.474
127	0.532
128	0.406
129	0.54
130	0.278
131	0.912
132	0.115
133	0.025
134	0.613
135	0.163
136	0.054
137	0.356
138	0.885
139	0.763
140	0.232
141	0.987
142	0.194
143	0.086
144	0.669
145	0.612
146	0.931
147	0.47
148	0.746
149	0.777
150	0.331
151	0.065
152	0.028
153	0.52
154	0.037
155	0.851
156	0.111
157	0.34
158	0.763
159	0.581
160	0.555
161	0.839
162	0.792
163	0.823
164	0.996
165	0.84
166	0.427
167	0.088
168	0.9
169	0.488
170	0.343
171	0.947
172	0.536
173	0.993
174	0.431
175	0.792
176	0.19
177	0.852
178	0.991
179	0.037
180	0.087
181	0.439
182	0.175
183	0.588
184	0.424
185	0.152
186	0.573
187	0.89
188	0.599
189	0.046
190	0.173
191	0.57
192	0.469
193	0.302
194	0.736
195	0.397
196	0.006
197	0.758
198	0.697
199	0.23
200	0.996
201	0.542
202	0.205
203	0.459
204	0.05
205	0.788
206	0.49
207	0.135
208	0.736
209	0.61
210	0.363
211	0.746
212	0.041
213	0.151
214	0.529
215	0.075
216	0.588
217	0.953
218	0.332
219	0.845
220	0.014
221	0.452
222	0.679
223	0.72
224	0.979
225	0.691
226	0.943
227	0.9
228	0.092
229	0.037
230	0.649
231	0.469
232	0.236
233	0.174
234	0.386
235	0.245
236	0.763
237	0.552
238	0.127
239	0.214
240	0.798
241	0.633
242	0.006
243	0.149
244	0.401
245	0.916
246	0.646
247	0.409
248	0.442
249	0.562
250	0.62
251	0.284
252	0.357
253	0.917
254	0.024
255	0.145
256	0.474
257	0.07
258	0.763
259	0.824
260	0.933
261	0.354
262	0.359
263	0.543
264	0.683
265	0.744
266	0.299
267	0.504
268	0.801
269	0.705
270	0.773
271	0.169
272	0.245
273	0.501
274	0.637
275	0.533
276	0.351
277	0.256
278	0.666
279	0.271
280	0.364
281	0.357
282	0.865
283	0.221
284	0.246
285	0.573
286	0.239
287	0.023
288	0.867
289	0.71
290	0.065
291	0.704
292	0.852
293	0.621
294	0
295	0.474
296	0.659
297	0.312
298	0.222
299	0.207
300	0.723
301	0.486
302	0.315
303	0.977
304	0.139
305	0.284
306	0.805
307	0.263
308	0.886
309	0.285
310	0.849
311	0.098
312	0.429
313	0.063
314	0.815
315	0.104
316	0.865
317	0.436
318	0.954
319	0.167
320	0.7
321	0.312
322	0.137
323	0.079
324	0.139
325	0.08
326	0.731
327	0.062
328	0.071
329	0.593
330	0.528
331	0.959
332	0.055
333	0.065
334	0.466
335	0.803
336	0.368
337	0.005
338	0.099
339	0.917
340	0.79
341	0.273
342	0.731
343	0.918
344	0.774
345	0.016
346	0.214
347	0.735
348	0.571
349	0.327
350	0.685
351	0.001
352	0.502
353	0.265
354	0.805
355	0.602
356	0.142
357	0.56
358	0.675
359	0.01
360	0.761
361	0.635
362	0.912
363	0.309
364	0.928
365	0.15
366	0.712
367	0.344
368	0.933
369	0.127
370	0.987
371	0.327
372	0.197
373	0.008
374	0.83
375	0.038
376	0.994
377	0.647
378	0.153
379	0.932
380	0.129
381	0.419
382	0.471
383	0.571
384	0.734
385	0.46
386	0.901
387	0.52
388	0.949
389	0.511
390	0.51
391	0.742
392	0.428
393	0.22
394	0.121
395	0.923
396	0.246
397	0.963
398	0.212
399	0.5
400	0.935
401	0.863
402	0.377
403	0.323
404	0.63
405	0.485
406	0.443
407	0.259
408	0.765
409	0.337
410	0.937
411	0.931
412	0.823
413	0.187
414	0.818
415	0.109
416	0.355
417	0.714
418	0.403
419	0.253
420	0.534
421	0.244
422	0.275
423	0.506
424	0.97
425	0.026
426	0.523
427	0.784
428	0.413
429	0.63
430	0.296
431	0.785
432	0.662
433	0.495
434	0.821
435	0.546
436	0.42
437	0.62
438	0.487
439	0.103
440	0.469
441	0.655
442	0.391
443	0.624
444	0.501
445	0.218
446	0.352
447	0.035
448	0.388
449	0.588
450	0.81
451	0.303
452	0.359
453	0.564
454	0.064
455	0.3
456	0.005
457	0.106
458	0.311
459	0.001
460	0.153
461	0.181
462	0
463	0.611
464	0.444
465	0.354
466	0.023
467	0.893
468	0.208
469	0.781
470	0.417
471	0.627
472	0.165
473	0.615
474	0.652
475	0.444
476	0.81
477	0.654
478	0.645
479	0.73
480	0.012
481	0.007
482	0.02
483	0.293
484	0.377
485	0.775
486	0.17
487	0.899
488	0.967
489	0.16
490	0.033
491	0.173
492	0.685
493	0.899
494	0.057
495	0.68
496	0.674
497	0.303
498	0.801
499	0.663
500	0.29
