Values used for beta_0k(intercept). Sampled from -1.0 to 1.0 uniformly:
   1	0.6006149767
   2	0.7220968104
   3	0.6085638995
   4	-0.9627886679
   5	0.2351066226
   6	0.7371275136
   7	0.0272698621
   8	-0.9066314903
   9	-0.8311987677
  10	0.9824952561

Values used for beta_k(effect). Sampled from normal with mean 0 and std 1.0:
   1	-0.1371252281
   2	-0.6926532580
   3	0.0073563992
   4	-0.3884480563
   5	-0.6693703705
   6	1.2797851953
   7	-2.4461705667
   8	0.1945845653
   9	0.1015857503
  10	-0.2078707915
